
"age","height","weight"
"39","148","85"
"55","152","68"
"23","153","85"
"60","150","97"
"27","166","58"
"24","167","52"
"47","166","78"
"60","151","56"
"42","168","53"
"24","152","55"
"35","165","66"
"38","156","62"
"19","167","64"
"46","178","89"
"25","143","88"
"57","178","76"
"32","143","53"
"49","175","72"
"26","146","93"
"43","166","59"
"54","152","67"
"45","162","87"
"19","169","90"
"53","161","80"
"21","175","67"
"27","143","75"
"28","146","98"
"28","169","80"
"19","152","70"
"48","166","52"
"18","167","95"
"36","177","92"
"50","143","74"
"52","142","90"
"50","179","95"
"25","159","57"
"26","147","54"
"33","172","90"
"18","148","60"
"45","149","91"
"44","173","79"
"37","142","78"
"19","159","51"
"20","154","86"
"40","179","53"
"58","151","57"
"58","161","57"
"21","168","76"
"27","167","92"
"37","176","50"
"60","179","67"
"20","163","58"
"48","147","72"
"22","165","51"
"40","174","77"
"37","155","55"
"41","159","75"
